
date; open; high;low; close ; adj_close ; volume
Jul 15, 2024; 562.03; 564.84; 559.63; 561.53; 559.81; 40,584,300

Jul 12, 2024; 557.63; 563.67; 557.15; 559.99; 558.28; 53,084,400

Jul 11, 2024; 561.44; 562.33; 555.83; 556.48; 554.78; 53,054,200

Jul 10, 2024; 557.07; 561.67; 556.77; 561.32; 559.60; 38,701,200

Jul 9, 2024; 556.26; 557.18; 555.52; 555.82; 554.12; 27,289,700

Jul 8, 2024; 555.44; 556.25; 554.19; 555.28; 553.58; 36,110,500

Jul 5, 2024; 551.77; 555.05; 551.12; 554.64; 552.94; 41,488,400

Jul 3, 2024; 548.69; 551.83; 548.65; 551.46; 549.77; 32,789,900

Jul 2, 2024; 543.70; 549.01; 543.65; 549.01; 547.33; 40,434,800

Jul 1, 2024; 545.63; 545.88; 542.52; 545.34; 543.67; 40,297,800

Jun 28, 2024; 547.16; 550.28; 542.95; 544.22; 542.56; 76,144,500

Jun 27, 2024; 545.37; 546.96; 544.61; 546.37; 544.70; 35,041,500

Jun 26, 2024; 543.69; 546.24; 543.03; 545.51; 543.84; 38,550,600

Jun 25, 2024; 543.99; 545.20; 542.44; 544.83; 543.16; 38,273,300

Jun 24, 2024; 544.33; 546.95; 542.62; 542.74; 541.08; 45,528,700

Jun 21, 2024; 1.76 Dividend

Jun 21, 2024; 544.40; 545.65; 543.02; 544.51; 542.84; 64,513,900

Jun 20, 2024; 549.44; 550.12; 545.18; 547.00; 543.57; 70,328,200

Jun 18, 2024; 547.16; 548.62; 546.73; 548.49; 545.05; 41,376,400

Jun 17, 2024; 542.08; 548.53; 541.61; 547.10; 543.67; 55,839,500

Jun 14, 2024; 540.88; 542.81; 539.85; 542.78; 539.38; 40,089,900

Jun 13, 2024; 543.15; 543.33; 539.59; 542.45; 539.05; 44,760,900

Jun 12, 2024; 541.63; 544.12; 540.30; 541.36; 537.97; 63,251,300

Jun 11, 2024; 534.07; 537.01; 532.05; 536.95; 533.59; 36,383,400

Jun 10, 2024; 533.18; 535.99; 532.57; 535.66; 532.30; 35,729,300

Jun 7, 2024; 533.66; 536.89; 532.54; 534.01; 530.67; 43,224,500

Jun 6, 2024; 534.98; 535.42; 532.68; 534.66; 531.31; 30,808,500

Jun 5, 2024; 530.77; 534.69; 528.73; 534.67; 531.32; 47,610,400

Jun 4, 2024; 526.46; 529.15; 524.96; 528.39; 525.08; 34,632,700

Jun 3, 2024; 529.02; 529.31; 522.60; 527.80; 524.49; 46,835,700

May 31, 2024; 523.59; 527.50; 518.36; 527.37; 524.07; 90,785,800

May 30, 2024; 524.52; 525.20; 521.33; 522.61; 519.34; 46,468,500

May 29, 2024; 525.68; 527.31; 525.37; 526.10; 522.80; 45,190,300

May 28, 2024; 530.27; 530.51; 527.11; 529.81; 526.49; 36,269,600

May 24, 2024; 527.85; 530.27; 526.88; 529.44; 526.12; 41,258,400

May 23, 2024; 532.96; 533.07; 524.72; 525.96; 522.67; 57,211,200

May 22, 2024; 530.65; 531.38; 527.60; 529.83; 526.51; 48,390,000

May 21, 2024; 529.28; 531.52; 529.07; 531.36; 528.03; 33,437,000

May 20, 2024; 529.57; 531.56; 529.17; 530.06; 526.74; 37,764,200

May 17, 2024; 528.81; 529.52; 527.32; 529.45; 526.13; 59,187,600

May 16, 2024; 529.88; 531.52; 528.54; 528.69; 525.38; 50,244,800

May 15, 2024; 525.83; 530.08; 525.18; 529.78; 526.46; 59,504,900

May 14, 2024; 521.11; 523.83; 520.56; 523.30; 520.02; 57,535,900

May 13, 2024; 522.56; 522.67; 519.74; 520.91; 517.65; 36,716,400

May 10, 2024; 521.81; 522.64; 519.59; 520.84; 517.58; 52,233,200

May 9, 2024; 517.38; 520.21; 516.71; 520.17; 516.91; 43,643,700

May 8, 2024; 515.26; 517.74; 515.14; 517.19; 513.95; 42,047,200

May 7, 2024; 517.56; 518.57; 516.45; 517.14; 513.90; 52,561,300

May 6, 2024; 513.75; 516.61; 513.30; 516.57; 513.33; 47,264,700

May 3, 2024; 511.16; 512.55; 508.56; 511.29; 508.09; 72,756,700

May 2, 2024; 504.15; 505.89; 499.55; 505.03; 501.87; 62,550,200

May 1, 2024; 501.38; 508.19; 499.87; 500.35; 497.22; 80,242,800

Apr 30, 2024; 508.56; 509.56; 501.98; 501.98; 498.84; 77,483,600

Apr 29, 2024; 510.09; 510.75; 507.25; 510.06; 506.87; 46,415,400

Apr 26, 2024; 506.35; 509.88; 505.70; 508.26; 505.08; 64,306,100

Apr 25, 2024; 499.18; 504.27; 497.49; 503.49; 500.34; 69,122,400

Apr 24, 2024; 506.56; 507.37; 503.13; 505.41; 502.24; 55,928,100

Apr 23, 2024; 501.78; 506.09; 499.53; 505.65; 502.48; 64,633,600

Apr 22, 2024; 497.83; 502.38; 495.43; 499.72; 496.59; 67,961,000

Apr 19, 2024; 499.44; 500.46; 493.86; 495.16; 492.06; 102,129,100

Apr 18, 2024; 501.98; 504.13; 498.56; 499.52; 496.39; 74,548,100

Apr 17, 2024; 506.05; 506.22; 499.12; 500.55; 497.41; 75,910,300

Apr 16, 2024; 504.94; 506.50; 502.21; 503.53; 500.38; 73,484,000

Apr 15, 2024; 515.13; 515.30; 503.58; 504.45; 501.29; 92,101,400

Apr 12, 2024; 514.37; 515.82; 509.08; 510.85; 507.65; 92,469,100

Apr 11, 2024; 515.68; 519.48; 512.08; 518.00; 514.76; 70,099,000

Apr 10, 2024; 513.48; 516.16; 512.09; 514.12; 510.90; 82,652,800

Apr 9, 2024; 520.50; 520.75; 514.35; 519.32; 516.07; 68,124,400

Apr 8, 2024; 519.15; 520.18; 517.89; 518.72; 515.47; 48,401,800

Apr 5, 2024; 514.46; 520.44; 514.01; 518.43; 515.18; 74,482,100

Apr 4, 2024; 523.52; 523.87; 512.76; 513.07; 509.86; 96,858,100

Apr 3, 2024; 517.72; 520.95; 517.67; 519.41; 516.16; 59,155,800

Apr 2, 2024; 518.24; 518.98; 516.48; 518.84; 515.59; 74,230,300

Apr 1, 2024; 523.83; 524.38; 520.97; 522.16; 518.89; 62,477,500

Mar 28, 2024; 523.21; 524.61; 522.78; 523.07; 519.79; 96,294,900

Mar 27, 2024; 521.71; 523.21; 519.49; 523.17; 519.89; 82,999,800

Mar 26, 2024; 521.23; 521.58; 518.40; 518.81; 515.56; 65,463,700

Mar 25, 2024; 519.80; 520.95; 519.61; 519.77; 516.51; 48,512,100

Mar 22, 2024; 522.11; 522.61; 520.97; 521.21; 517.95; 79,023,000

Mar 21, 2024; 523.39; 524.11; 521.91; 522.20; 518.93; 60,256,100

Mar 20, 2024; 515.77; 520.62; 515.08; 520.48; 517.22; 69,594,600

Mar 19, 2024; 512.15; 516.00; 511.12; 515.71; 512.48; 60,755,300

Mar 18, 2024; 514.00; 515.48; 512.44; 512.86; 509.65; 88,893,300

Mar 15, 2024; 1.60 Dividend

Mar 15, 2024; 510.21; 511.70; 508.12; 509.83; 506.64; 107,585,800

Mar 14, 2024; 516.97; 517.13; 511.82; 514.95; 510.14; 110,171,800

Mar 13, 2024; 517.11; 517.29; 514.49; 515.97; 511.15; 55,104,100

Mar 12, 2024; 513.45; 517.38; 510.86; 516.78; 511.95; 73,114,400

Mar 11, 2024; 510.48; 511.88; 508.50; 511.28; 506.50; 62,557,200

Mar 8, 2024; 515.46; 518.22; 511.13; 511.72; 506.94; 86,425,500

Mar 7, 2024; 513.14; 515.89; 509.81; 514.81; 510.00; 58,652,100

Mar 6, 2024; 510.55; 512.07; 508.42; 509.75; 504.99; 68,382,400

Mar 5, 2024; 510.24; 510.70; 504.91; 507.18; 502.44; 72,855,600

Mar 4, 2024; 512.03; 514.20; 512.00; 512.30; 507.51; 49,799,300

Mar 1, 2024; 508.98; 513.29; 508.56; 512.85; 508.06; 76,805,900

Feb 29, 2024; 508.07; 509.74; 505.35; 508.08; 503.33; 83,924,800

Feb 28, 2024; 505.33; 506.86; 504.96; 506.26; 501.53; 56,506,600

Feb 27, 2024; 506.70; 507.16; 504.75; 506.93; 502.19; 48,854,500

Feb 26, 2024; 508.30; 508.75; 505.86; 505.99; 501.26; 50,386,700

Feb 23, 2024; 509.27; 510.13; 507.10; 507.85; 503.11; 61,321,800

Feb 22, 2024; 504.01; 508.49; 503.02; 507.50; 502.76; 76,402,500

Feb 21, 2024; 495.42; 497.37; 493.56; 497.21; 492.57; 59,603,800

Feb 20, 2024; 497.72; 498.41; 494.45; 496.76; 492.12; 71,736,700

Feb 16, 2024; 501.70; 502.87; 498.75; 499.51; 494.84; 75,461,200

Feb 15, 2024; 499.29; 502.20; 498.80; 502.01; 497.32; 61,683,000

Feb 14, 2024; 496.79; 499.07; 494.40; 498.57; 493.91; 68,387,800

Feb 13, 2024; 494.53; 497.09; 490.72; 494.08; 489.46; 113,099,200

Feb 12, 2024; 501.17; 503.50; 500.24; 500.98; 496.30; 56,502,300

Feb 9, 2024; 498.84; 501.65; 498.49; 501.20; 496.52; 63,979,400

Feb 8, 2024; 498.10; 498.71; 497.26; 498.32; 493.66; 52,343,600

Feb 7, 2024; 496.29; 498.53; 495.36; 498.10; 493.45; 70,556,500

Feb 6, 2024; 493.52; 494.32; 492.05; 493.98; 489.37; 55,918,600

Feb 5, 2024; 493.70; 494.38; 490.23; 492.55; 487.95; 75,757,100

Feb 2, 2024; 489.65; 496.05; 489.30; 494.35; 489.73; 99,147,700

Feb 1, 2024; 484.63; 489.23; 483.80; 489.20; 484.63; 91,891,600

Jan 31, 2024; 488.62; 489.08; 482.86; 482.88; 478.37; 126,011,100

Jan 30, 2024; 490.56; 491.62; 490.11; 490.89; 486.30; 58,618,400

Jan 29, 2024; 487.73; 491.42; 487.17; 491.27; 486.68; 61,322,800

Jan 26, 2024; 487.59; 489.12; 486.54; 487.41; 482.86; 76,641,600

Jan 25, 2024; 487.58; 488.31; 485.39; 488.03; 483.47; 72,525,000

Jan 24, 2024; 487.81; 488.77; 484.88; 485.39; 480.86; 81,765,000

Jan 23, 2024; 484.01; 485.11; 482.89; 484.86; 480.33; 49,945,300

Jan 22, 2024; 484.01; 485.22; 482.78; 483.45; 478.93; 75,844,900

Jan 19, 2024; 477.65; 482.72; 476.54; 482.43; 477.92; 110,733,300

Jan 18, 2024; 474.01; 477.06; 472.42; 476.49; 472.04; 91,856,200

Jan 17, 2024; 471.82; 472.79; 469.87; 472.29; 467.88; 68,843,900

Jan 16, 2024; 475.26; 476.61; 473.06; 474.93; 470.49; 85,014,900

Jan 12, 2024; 477.84; 478.60; 475.23; 476.68; 472.23; 57,944,000

Jan 11, 2024; 477.59; 478.12; 472.26; 476.35; 471.90; 77,940,700

Jan 10, 2024; 474.16; 477.45; 473.87; 476.56; 472.11; 67,310,600

Jan 9, 2024; 471.87; 474.93; 471.35; 473.88; 469.45; 65,931,400

Jan 8, 2024; 468.43; 474.75; 468.30; 474.60; 470.17; 74,879,100

Jan 5, 2024; 467.49; 470.44; 466.43; 467.92; 463.55; 86,060,800

Jan 4, 2024; 468.30; 470.96; 467.05; 467.28; 462.91; 84,232,200

Jan 3, 2024; 470.43; 471.19; 468.17; 468.79; 464.41; 103,585,900

Jan 2, 2024; 472.16; 473.67; 470.49; 472.65; 468.23; 123,623,700

Dec 29, 2023; 476.49; 477.03; 473.30; 475.31; 470.87; 122,234,100

Dec 28, 2023; 476.88; 477.55; 476.26; 476.69; 472.24; 77,158,100

Dec 27, 2023; 475.44; 476.66; 474.89; 476.51; 472.06; 68,000,300

Dec 26, 2023; 474.07; 476.58; 473.99; 475.65; 471.21; 55,387,000

Dec 22, 2023; 473.86; 475.38; 471.70; 473.65; 469.23; 67,126,600

Dec 21, 2023; 471.33; 472.98; 468.84; 472.70; 468.28; 86,667,500

Dec 20, 2023; 473.96; 475.90; 467.82; 468.26; 463.89; 102,921,000

Dec 19, 2023; 472.53; 474.92; 472.45; 474.84; 470.40; 55,761,800

Dec 18, 2023; 470.98; 472.98; 469.89; 471.97; 467.56; 70,375,300

Dec 15, 2023; 1.91 Dividend

Dec 15, 2023; 469.49; 470.70; 467.43; 469.33; 464.95; 141,319,300

Dec 14, 2023; 472.50; 473.73; 469.25; 472.01; 465.71; 119,026,000

Dec 13, 2023; 464.49; 470.76; 464.12; 470.50; 464.22; 93,278,000

Dec 12, 2023; 461.63; 464.20; 460.60; 464.10; 457.91; 68,327,600

Dec 11, 2023; 459.69; 462.17; 459.47; 461.99; 455.83; 65,002,200

Dec 8, 2023; 457.46; 460.75; 457.21; 460.20; 454.06; 83,080,900

Dec 7, 2023; 456.91; 458.90; 456.29; 458.23; 452.12; 66,995,400

Dec 6, 2023; 458.81; 458.84; 454.31; 454.76; 448.69; 69,124,700

Dec 5, 2023; 455.26; 457.59; 454.87; 456.60; 450.51; 69,793,500

Dec 4, 2023; 455.60; 459.12; 454.34; 456.69; 450.60; 72,430,900

Dec 1, 2023; 455.77; 459.65; 455.16; 459.10; 452.97; 89,097,900

Nov 30, 2023; 455.48; 456.76; 453.34; 456.40; 450.31; 79,752,700

Nov 29, 2023; 457.15; 458.32; 454.20; 454.61; 448.54; 63,146,000

Nov 28, 2023; 454.08; 456.27; 453.50; 454.93; 448.86; 62,115,000

Nov 27, 2023; 454.65; 455.49; 454.08; 454.48; 448.42; 50,506,000

Nov 24, 2023; 455.07; 455.50; 454.73; 455.30; 449.23; 29,737,400

Nov 22, 2023; 454.98; 456.38; 453.89; 455.02; 448.95; 59,394,900

Nov 21, 2023; 453.18; 454.13; 451.96; 453.27; 447.22; 49,244,600

Nov 20, 2023; 450.53; 455.13; 450.52; 454.26; 448.20; 69,936,200

Nov 17, 2023; 450.24; 451.42; 449.29; 450.79; 444.78; 83,133,200

Nov 16, 2023; 449.22; 450.56; 448.12; 450.23; 444.22; 66,665,800

Nov 15, 2023; 450.11; 451.38; 448.80; 449.68; 443.68; 77,327,600

Nov 14, 2023; 446.32; 450.06; 446.09; 448.73; 442.74; 97,176,900

Nov 13, 2023; 439.23; 441.33; 438.42; 440.19; 434.32; 52,236,100

Nov 10, 2023; 435.98; 440.93; 433.83; 440.61; 434.73; 89,462,200

Nov 9, 2023; 438.43; 438.47; 433.40; 433.84; 428.05; 83,174,400

Nov 8, 2023; 437.55; 438.09; 434.87; 437.25; 431.42; 61,746,000

Nov 7, 2023; 435.69; 437.59; 434.51; 436.93; 431.10; 64,256,100

Nov 6, 2023; 435.47; 436.15; 433.68; 435.69; 429.88; 67,831,700

Nov 3, 2023; 433.14; 436.29; 433.01; 434.69; 428.89; 100,110,800

Nov 2, 2023; 426.58; 430.92; 426.56; 430.76; 425.01; 94,938,900

Nov 1, 2023; 419.20; 423.50; 418.65; 422.66; 417.02; 98,068,100

Oct 31, 2023; 416.18; 418.53; 414.21; 418.20; 412.62; 79,665,200

Oct 30, 2023; 413.56; 416.68; 412.22; 415.59; 410.05; 86,562,700

Oct 27, 2023; 414.19; 414.60; 409.21; 410.68; 405.20; 107,367,700

Oct 26, 2023; 416.45; 417.33; 411.60; 412.55; 407.05; 115,156,800

Oct 25, 2023; 421.89; 421.92; 417.02; 417.55; 411.98; 94,223,200

Oct 24, 2023; 422.65; 424.82; 420.74; 423.63; 417.98; 78,564,200

Oct 23, 2023; 419.61; 424.45; 417.80; 420.46; 414.85; 92,035,100
\par \pard\plain \s0\rtlch\af7\afs24\alang1081 \ltrch\lang1033\langfe2052\hich\af3\loch\widctlpar\hyphpar0\ltrpar\cf0\f3\fs24\lang1033\kerning1\dbch\af9\langfe2052\sl276\slmult1\ql\sb0\sa200\ltrpar\hich\af5\loch\fs22\lang1033\f5\loch

\par 
